,GameType,GameID,Date,PlayerID,Player,Position,Team,Opponent,Venue,Starter,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,Usage,Rest,MPG,PlayerFP,GameFP/36,TeamFP
743,NBA 2020-2021 Regular Season,22000035,12/27/2020,203118,Mike Scott,F,Philadelphia,Cleveland,R,N,18.6,4,8,3,7,1,2,2,1,3,0,2,1,3,0,12,27.9,0,19.2,17.8,34.3,202.2
744,NBA 2020-2021 Regular Season,22000035,12/27/2020,1629680,Matisse Thybulle,G-F,Philadelphia,Cleveland,R,N,8.2,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,5.3,0,14.9,1.2,5.5,202.2
745,NBA 2020-2021 Regular Season,22000035,12/27/2020,1630198,Isaiah Joe,G,Philadelphia,Cleveland,R,N,7.1,1,2,0,1,0,0,0,1,1,1,0,1,0,0,2,12.4,3+,19.1,6.8,34.4,202.2
746,NBA 2020-2021 Regular Season,22000035,12/27/2020,1628390,Terrance Ferguson,G,Philadelphia,Cleveland,R,N,7.1,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,12.4,3+,3.5,1.5,7.6,202.2
747,NBA 2020-2021 Regular Season,22000035,12/27/2020,1629751,Dakota Mathias,G,Philadelphia,Cleveland,R,N,7.1,3,6,2,4,0,0,0,1,1,2,0,0,0,0,8,37.2,3+,15.4,13.2,67.5,202.2
748,NBA 2020-2021 Regular Season,22000035,12/27/2020,201567,Kevin Love,F-C,Cleveland,Philadelphia,H,Y,8.8,2,6,0,1,0,0,1,2,3,2,0,1,0,0,4,28.6,0,23.2,12.8,52.0,255.2
749,NBA 2020-2021 Regular Season,22000035,12/27/2020,1626204,Larry Nance Jr.,F-C,Cleveland,Philadelphia,H,Y,35.4,5,6,3,4,0,0,1,3,4,5,3,2,4,0,13,11.9,0,34.4,29.0,29.5,255.2
750,NBA 2020-2021 Regular Season,22000035,12/27/2020,203083,Andre Drummond,C,Cleveland,Philadelphia,H,Y,25.7,11,18,0,0,2,4,6,8,14,3,1,3,1,2,24,34.0,0,30.5,55.5,77.8,255.2
751,NBA 2020-2021 Regular Season,22000035,12/27/2020,1629012,Collin Sexton,G,Cleveland,Philadelphia,H,Y,29.3,8,15,1,2,5,6,0,3,3,3,1,1,1,0,22,26.8,0,34.8,32.2,39.6,255.2
752,NBA 2020-2021 Regular Season,22000035,12/27/2020,1629636,Darius Garland,G,Cleveland,Philadelphia,H,Y,29.0,7,15,0,3,0,0,0,0,0,7,2,2,2,0,14,24.7,0,32.5,27.5,34.2,255.2
753,NBA 2020-2021 Regular Season,22000035,12/27/2020,1629731,Dean Wade,F-C,Cleveland,Philadelphia,H,N,14.4,1,4,1,3,0,0,1,3,4,0,2,0,1,1,3,14.6,3,10.5,10.0,25.0,255.2
754,NBA 2020-2021 Regular Season,22000035,12/27/2020,1626224,Cedi Osman,F,Cleveland,Philadelphia,H,N,21.8,5,8,2,4,2,2,0,2,2,2,4,1,1,1,14,19.1,0,30.6,24.0,39.7,255.2
755,NBA 2020-2021 Regular Season,22000035,12/27/2020,201580,JaVale McGee,C-F,Cleveland,Philadelphia,H,N,16.4,2,6,1,2,2,2,0,6,6,2,2,0,2,2,7,22.8,0,16.8,21.0,46.0,255.2
756,NBA 2020-2021 Regular Season,22000035,12/27/2020,203957,Dante Exum,G,Cleveland,Philadelphia,H,N,23.1,3,5,0,1,0,0,1,3,4,6,5,2,1,0,6,10.9,0,19.4,23.5,36.7,255.2
757,NBA 2020-2021 Regular Season,22000035,12/27/2020,1628422,Damyean Dotson,G,Cleveland,Philadelphia,H,N,19.7,2,5,1,3,0,0,0,1,1,1,0,1,2,0,5,15.0,3,25.3,9.2,16.9,255.2
758,NBA 2020-2021 Regular Season,22000035,12/27/2020,1629716,Marques Bolden,C,Cleveland,Philadelphia,H,N,5.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7.1,3,4.8,2.0,12.2,255.2
759,NBA 2020-2021 Regular Season,22000035,12/27/2020,1627748,Thon Maker,F-C,Cleveland,Philadelphia,H,N,5.9,1,1,0,0,0,0,1,1,2,0,2,0,1,0,2,14.3,3+,9.6,4.0,24.4,255.2
760,NBA 2020-2021 Regular Season,22000035,12/27/2020,1630205,Lamar Stevens,F,Cleveland,Philadelphia,H,N,4.7,0,1,0,0,2,2,0,2,2,0,0,0,0,0,2,17.0,3+,12.9,4.5,34.7,255.2
761,NBA 2020-2021 Regular Season,22000036,12/27/2020,203507,Giannis Antetokounmpo,F,Milwaukee,New York,R,Y,32.0,9,15,1,5,8,13,2,11,13,5,3,3,3,0,27,30.0,1,32.3,55.8,62.8,223.0
762,NBA 2020-2021 Regular Season,22000036,12/27/2020,203114,Khris Middleton,F,Milwaukee,New York,R,Y,32.8,8,18,1,6,5,5,1,3,4,5,1,0,0,0,22,24.9,1,32.9,35.0,38.4,223.0
763,NBA 2020-2021 Regular Season,22000036,12/27/2020,201572,Brook Lopez,C,Milwaukee,New York,R,Y,20.8,2,7,0,4,2,2,2,0,2,0,3,1,0,2,6,15.3,1,27.4,14.5,25.1,223.0
764,NBA 2020-2021 Regular Season,22000036,12/27/2020,1628978,Donte DiVincenzo,G,Milwaukee,New York,R,Y,23.5,4,7,2,4,0,1,0,2,2,1,0,0,1,0,10,14.5,1,25.4,14.5,22.2,223.0
765,NBA 2020-2021 Regular Season,22000036,12/27/2020,201950,Jrue Holiday,G,Milwaukee,New York,R,Y,27.9,4,10,0,4,0,0,2,2,4,5,0,2,3,0,8,18.8,1,32.6,23.0,29.7,223.0
766,NBA 2020-2021 Regular Season,22000036,12/27/2020,1626171,Bobby Portis,F,Milwaukee,New York,R,N,26.1,7,12,1,2,2,2,5,2,7,2,5,1,1,1,17,21.5,1,22.7,32.8,45.1,223.0
767,NBA 2020-2021 Regular Season,22000036,12/27/2020,1626192,Pat Connaughton,G,Milwaukee,New York,R,N,16.0,2,8,0,5,0,0,1,2,3,1,2,0,0,1,4,20.3,1,17.5,11.2,25.4,223.0
768,NBA 2020-2021 Regular Season,22000036,12/27/2020,1628391,D.J. Wilson,F-C,Milwaukee,New York,R,N,6.9,0,0,0,0,1,2,1,0,1,0,2,0,0,0,1,5.1,1,10.2,2.2,11.7,223.0
769,NBA 2020-2021 Regular Season,22000036,12/27/2020,201571,D.J. Augustin,G,Milwaukee,New York,R,N,13.8,0,6,0,4,2,2,0,1,1,1,0,0,1,0,2,23.2,1,18.2,4.2,11.1,223.0
770,NBA 2020-2021 Regular Season,22000036,12/27/2020,1627854,Bryn Forbes,G,Milwaukee,New York,R,N,17.6,0,4,0,1,1,2,0,0,0,0,2,0,0,0,1,11.2,1,16.0,1.0,2.0,223.0
771,NBA 2020-2021 Regular Season,22000036,12/27/2020,1628470,Torrey Craig,F,Milwaukee,New York,R,N,2.7,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0.0,1,8.6,5.0,65.9,223.0
772,NBA 2020-2021 Regular Season,22000036,12/27/2020,1629670,Jordan Nwora,F,Milwaukee,New York,R,N,7.4,4,6,1,2,0,0,0,2,2,0,0,0,2,0,9,43.4,1,8.8,11.0,53.2,223.0
773,NBA 2020-2021 Regular Season,22000036,12/27/2020,1630241,Sam Merrill,G,Milwaukee,New York,R,N,7.4,1,2,1,1,0,0,1,2,3,2,1,0,0,0,3,10.8,1,6.2,10.2,49.5,223.0
774,NBA 2020-2021 Regular Season,22000036,12/27/2020,203648,Thanasis Antetokounmpo,F,Milwaukee,New York,R,N,5.0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0.0,1,10.0,2.5,18.1,223.0
775,NBA 2020-2021 Regular Season,22000036,12/27/2020,203493,Reggie Bullock,G-F,New York,Milwaukee,H,Y,16.9,2,5,1,2,2,2,0,3,3,1,2,0,1,0,7,17.5,0,27.6,12.2,26.1,246.5
776,NBA 2020-2021 Regular Season,22000036,12/27/2020,203944,Julius Randle,C-F,New York,Milwaukee,H,Y,37.1,8,17,3,5,10,11,3,11,14,7,4,0,2,1,29,27.6,0,36.8,59.5,57.7,246.5
777,NBA 2020-2021 Regular Season,22000036,12/27/2020,1629011,Mitchell Robinson,C-F,New York,Milwaukee,H,Y,34.7,4,6,0,0,1,1,0,6,6,1,2,2,1,1,9,9.2,0,29.6,23.5,24.4,246.5
778,NBA 2020-2021 Regular Season,22000036,12/27/2020,1629628,RJ Barrett,F-G,New York,Milwaukee,H,Y,38.3,7,17,0,4,3,4,2,6,8,4,4,1,2,0,17,23.3,0,36.2,34.0,32.0,246.5
779,NBA 2020-2021 Regular Season,22000036,12/27/2020,203901,Elfrid Payton,G,New York,Milwaukee,H,Y,29.3,12,16,3,3,0,2,1,2,3,7,2,1,3,0,27,29.1,0,29.3,43.2,53.1,246.5
780,NBA 2020-2021 Regular Season,22000036,12/27/2020,202692,Alec Burks,G,New York,Milwaukee,H,N,20.5,5,7,4,5,4,5,0,2,2,5,3,0,1,0,18,21.4,0,28.0,29.5,51.9,246.5
781,NBA 2020-2021 Regular Season,22000036,12/27/2020,203457,Nerlens Noel,C-F,New York,Milwaukee,H,N,13.3,1,1,0,0,0,0,1,3,4,0,1,0,3,1,2,12.9,0,16.3,7.5,20.3,246.5
782,NBA 2020-2021 Regular Season,22000036,12/27/2020,1628995,Kevin Knox II,F,New York,Milwaukee,H,N,26.2,3,8,1,4,0,0,0,4,4,2,1,1,1,1,7,14.7,0,19.3,19.0,26.1,246.5
783,NBA 2020-2021 Regular Season,22000036,12/27/2020,1628373,Frank Ntilikina,G,New York,Milwaukee,H,N,18.7,4,6,4,4,0,0,0,1,1,0,4,0,1,0,12,16.1,0,10.5,14.8,28.4,246.5
784,NBA 2020-2021 Regular Season,22000036,12/27/2020,1629607,Jared Harper,G,New York,Milwaukee,H,N,1.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,3+,2.6,0.0,0.0,246.5
785,NBA 2020-2021 Regular Season,22000036,12/27/2020,1629033,Theo Pinson,G-F,New York,Milwaukee,H,N,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2.6,0.0,0.0,246.5
786,NBA 2020-2021 Regular Season,22000036,12/27/2020,1629649,Ignas Brazdeikis,F,New York,Milwaukee,H,N,1.3,0,1,0,0,2,2,1,0,1,0,0,0,0,0,2,63.5,3+,1.8,3.2,92.1,246.5
787,NBA 2020-2021 Regular Season,22000037,12/27/2020,1628369,Jayson Tatum,F-G,Boston,Indiana,R,Y,35.8,9,21,3,9,4,4,0,11,11,5,1,0,5,1,25,34.6,1,34.6,47.2,47.5,224.0
788,NBA 2020-2021 Regular Season,22000037,12/27/2020,202684,Tristan Thompson,C-F,Boston,Indiana,R,Y,22.3,3,7,0,0,1,2,1,7,8,0,1,0,3,1,7,21.8,1,23.1,17.5,28.3,224.0
789,NBA 2020-2021 Regular Season,22000037,12/27/2020,1628464,Daniel Theis,F,Boston,Indiana,R,Y,14.9,2,5,0,2,0,0,0,4,4,0,0,1,0,2,4,15.0,1,22.8,15.0,36.2,224.0
790,NBA 2020-2021 Regular Season,22000037,12/27/2020,1627759,Jaylen Brown,G-F,Boston,Indiana,R,Y,33.6,8,13,0,1,2,2,0,2,2,4,4,2,2,1,18,21.1,1,32.8,31.5,33.7,224.0
791,NBA 2020-2021 Regular Season,22000037,12/27/2020,203935,Marcus Smart,G,Boston,Indiana,R,Y,31.6,4,8,2,4,1,2,1,2,3,6,1,2,2,0,11,15.4,1,32.7,27.8,31.6,224.0
792,NBA 2020-2021 Regular Season,22000037,12/27/2020,1629684,Grant Williams,F,Boston,Indiana,R,N,22.9,2,4,1,2,1,4,2,2,4,0,4,0,1,0,6,13.2,1,18.4,11.0,17.3,224.0
793,NBA 2020-2021 Regular Season,22000037,12/27/2020,201952,Jeff Teague,G,Boston,Indiana,R,N,21.8,0,6,0,0,9,10,0,3,3,2,2,2,1,0,9,23.3,1,18.7,19.2,31.7,224.0
794,NBA 2020-2021 Regular Season,22000037,12/27/2020,1630202,Payton Pritchard,G,Boston,Indiana,R,N,23.0,5,5,3,3,0,0,0,0,0,2,0,2,2,0,13,13.6,1,21.0,20.5,32.1,224.0
795,NBA 2020-2021 Regular Season,22000037,12/27/2020,1629057,Robert Williams III,C-F,Boston,Indiana,R,N,21.6,6,7,0,0,0,0,2,2,4,1,3,4,1,2,12,16.6,3,16.1,30.0,50.1,224.0
796,NBA 2020-2021 Regular Season,22000037,12/27/2020,1628400,Semi Ojeleye,F,Boston,Indiana,R,N,12.4,1,3,0,2,0,0,0,1,1,1,1,0,1,0,2,14.4,1,18.4,4.2,12.3,224.0
797,NBA 2020-2021 Regular Season,22000037,12/27/2020,203933,T.J. Warren,F,Indiana,Boston,H,Y,37.5,8,14,0,1,1,1,0,5,5,1,5,1,2,0,17,19.0,0,29.3,25.8,24.7,220.2
798,NBA 2020-2021 Regular Season,22000037,12/27/2020,1627734,Domantas Sabonis,F-C,Indiana,Boston,H,Y,40.6,8,18,2,4,1,3,2,8,10,5,2,0,4,1,19,24.9,0,38.3,40.0,35.5,220.2
799,NBA 2020-2021 Regular Season,22000037,12/27/2020,1626167,Myles Turner,C-F,Indiana,Boston,H,Y,29.3,3,10,0,4,4,4,3,4,7,0,2,2,1,5,10,18.9,0,32.7,32.2,39.7,220.2
800,NBA 2020-2021 Regular Season,22000037,12/27/2020,1628988,Aaron Holiday,G,Indiana,Boston,H,Y,21.9,3,5,0,2,0,0,1,1,2,1,3,3,0,1,6,9.9,0,20.5,18.0,29.6,220.2
801,NBA 2020-2021 Regular Season,22000037,12/27/2020,1627763,Malcolm Brogdon,G,Indiana,Boston,H,Y,36.3,11,20,2,7,1,2,0,5,5,5,0,2,5,0,25,30.9,0,36.8,41.2,40.9,220.2
802,NBA 2020-2021 Regular Season,22000037,12/27/2020,203200,Justin Holiday,F-G,Indiana,Boston,H,N,28.1,5,7,0,1,3,3,1,3,4,1,5,1,1,0,13,14.4,0,30.6,21.0,26.9,220.2
803,NBA 2020-2021 Regular Season,22000037,12/27/2020,203926,Doug McDermott,F,Indiana,Boston,H,N,27.2,6,12,3,7,1,2,1,0,1,3,1,1,0,0,16,20.6,0,26.2,25.2,33.5,220.2
804,NBA 2020-2021 Regular Season,22000037,12/27/2020,204456,T.J. McConnell,G,Indiana,Boston,H,N,19.1,1,2,0,0,0,0,0,3,3,7,2,1,3,0,2,11.3,0,19.9,16.8,31.5,220.2
805,NBA 2020-2021 Regular Season,22000038,12/27/2020,203952,Andrew Wiggins,F,Golden State,Chicago,R,Y,36.4,6,15,2,3,5,6,2,7,9,4,2,0,0,1,19,18.0,1,32.1,39.2,38.8,262.8
806,NBA 2020-2021 Regular Season,22000038,12/27/2020,1629308,Juan Toscano-Anderson,F,Golden State,Chicago,R,Y,19.2,2,3,1,2,0,0,0,5,5,1,1,1,1,0,5,7.7,1,14.0,14.8,27.6,262.8
807,NBA 2020-2021 Regular Season,22000038,12/27/2020,1630164,James Wiseman,C,Golden State,Chicago,R,Y,22.6,3,8,1,1,0,0,0,3,3,0,4,1,1,1,7,14.8,1,21.4,14.8,23.5,262.8
808,NBA 2020-2021 Regular Season,22000038,12/27/2020,1626162,Kelly Oubre Jr.,F-G,Golden State,Chicago,R,Y,30.3,3,16,0,6,2,2,3,8,11,0,3,4,3,0,8,24.4,1,28.1,28.2,33.6,262.8
809,NBA 2020-2021 Regular Season,22000038,12/27/2020,201939,Stephen Curry,G,Golden State,Chicago,R,Y,36.4,11,25,5,15,9,9,0,2,2,6,1,2,4,2,36,33.6,1,33.9,56.0,55.3,262.8
810,NBA 2020-2021 Regular Season,22000038,12/27/2020,1626172,Kevon Looney,F,Golden State,Chicago,R,N,16.9,3,5,0,0,2,2,3,1,4,4,2,0,0,0,8,12.9,1,14.1,19.0,40.5,262.8
811,NBA 2020-2021 Regular Season,22000038,12/27/2020,1628539,Mychal Mulder,G,Golden State,Chicago,R,N,10.6,2,6,2,5,1,2,0,0,0,0,1,1,0,0,7,24.2,1,9.6,10.0,34.1,262.8
812,NBA 2020-2021 Regular Season,22000038,12/27/2020,1629673,Jordan Poole,G,Golden State,Chicago,R,N,13.4,3,7,2,6,2,2,0,2,2,1,2,0,0,0,10,21.8,1,10.3,15.0,40.2,262.8
813,NBA 2020-2021 Regular Season,22000038,12/27/2020,1629672,Eric Paschall,F,Golden State,Chicago,R,N,19.1,4,8,1,2,6,7,1,1,2,2,2,2,1,0,15,23.5,1,18.8,24.5,46.1,262.8
814,NBA 2020-2021 Regular Season,22000038,12/27/2020,1627814,Damion Lee,G-F,Golden State,Chicago,R,N,20.6,4,7,4,5,0,0,1,1,2,2,4,2,0,0,12,12.6,1,18.3,23.5,41.0,262.8
815,NBA 2020-2021 Regular Season,22000038,12/27/2020,202954,Brad Wanamaker,G,Golden State,Chicago,R,N,14.4,1,4,0,2,0,0,0,1,1,5,1,4,2,0,2,15.5,1,16.1,17.8,44.4,262.8
816,NBA 2020-2021 Regular Season,22000038,12/27/2020,1630172,Patrick Williams,F,Chicago,Golden State,H,Y,26.4,2,5,0,1,2,2,1,3,4,2,1,0,2,3,6,11.6,0,26.4,19.0,26.0,252.5
817,NBA 2020-2021 Regular Season,22000038,12/27/2020,1628374,Lauri Markkanen,F-C,Chicago,Golden State,H,Y,29.2,7,13,4,7,5,7,0,7,7,1,1,1,2,1,23,24.0,0,30.3,38.2,47.1,252.5
818,NBA 2020-2021 Regular Season,22000038,12/27/2020,1628976,Wendell Carter Jr.,C-F,Chicago,Golden State,H,Y,31.5,8,9,1,2,5,8,4,9,13,4,3,0,3,0,22,19.2,0,26.9,43.2,49.5,252.5
819,NBA 2020-2021 Regular Season,22000038,12/27/2020,203897,Zach LaVine,G-F,Chicago,Golden State,H,Y,34.8,11,23,4,12,7,9,0,7,7,3,3,2,7,2,33,37.9,0,35.6,52.8,54.6,252.5
820,NBA 2020-2021 Regular Season,22000038,12/27/2020,1629632,Coby White,G,Chicago,Golden State,H,Y,35.6,8,19,4,9,0,0,0,7,7,5,1,0,3,0,20,24.0,0,34.3,36.8,37.1,252.5
821,NBA 2020-2021 Regular Season,22000038,12/27/2020,203490,Otto Porter Jr.,F,Chicago,Golden State,H,N,20.8,3,4,3,4,3,4,2,4,6,3,2,0,3,0,12,16.4,0,23.6,24.0,41.6,252.5
822,NBA 2020-2021 Regular Season,22000038,12/27/2020,202066,Garrett Temple,G-F,Chicago,Golden State,H,N,19.5,1,5,0,3,0,0,0,1,1,2,6,0,0,0,2,10.0,0,26.6,6.2,11.6,252.5
823,NBA 2020-2021 Regular Season,22000038,12/27/2020,203107,Tomas Satoransky,G,Chicago,Golden State,H,N,22.8,1,3,0,1,1,1,0,1,1,3,2,0,3,0,3,11.0,0,18.1,7.2,11.4,252.5
824,NBA 2020-2021 Regular Season,22000038,12/27/2020,1628990,Chandler Hutchison,F-G,Chicago,Golden State,H,N,19.4,3,5,1,2,0,0,0,8,8,4,2,1,1,0,7,12.0,0,11.9,25.0,46.3,252.5
825,NBA 2020-2021 Regular Season,22000039,12/27/2020,1628969,Mikal Bridges,F,Phoenix,Sacramento,R,Y,36.3,9,15,4,8,0,0,1,6,7,1,3,0,0,1,22,18.4,0,33.4,36.2,36.0,242.5
826,NBA 2020-2021 Regular Season,22000039,12/27/2020,203109,Jae Crowder,F,Phoenix,Sacramento,R,Y,25.8,1,6,0,4,0,0,0,3,3,3,1,0,1,0,2,12.1,0,28.9,9.8,13.6,242.5
827,NBA 2020-2021 Regular Season,22000039,12/27/2020,1629028,Deandre Ayton,C,Phoenix,Sacramento,R,Y,29.3,5,11,1,2,0,0,3,12,15,4,2,0,1,0,11,18.2,0,31.8,35.8,43.9,242.5
828,NBA 2020-2021 Regular Season,22000039,12/27/2020,1626164,Devin Booker,G,Phoenix,Sacramento,R,Y,35.3,8,19,1,6,3,4,1,4,5,5,1,2,4,1,20,31.2,0,35.7,38.2,39.0,242.5
829,NBA 2020-2021 Regular Season,22000039,12/27/2020,101108,Chris Paul,G,Phoenix,Sacramento,R,Y,27.2,4,10,0,2,0,0,1,3,4,12,4,0,2,0,8,19.6,0,32.7,30.0,39.7,242.5
830,NBA 2020-2021 Regular Season,22000039,12/27/2020,1629661,Cameron Johnson,F,Phoenix,Sacramento,R,N,21.0,7,9,3,4,4,4,0,1,1,1,1,1,0,0,21,22.8,0,24.8,27.2,46.6,242.5
831,NBA 2020-2021 Regular Season,22000039,12/27/2020,1626166,Cameron Payne,G,Phoenix,Sacramento,R,N,19.6,2,5,1,2,2,2,0,5,5,6,6,2,0,0,7,13.3,0,17.5,26.8,49.1,242.5
832,NBA 2020-2021 Regular Season,22000039,12/27/2020,1626163,Frank Kaminsky,F-C,Phoenix,Sacramento,R,N,18.7,5,10,1,2,0,0,1,1,2,2,1,0,1,1,11,26.2,0,11.3,18.5,35.6,242.5
833,NBA 2020-2021 Regular Season,22000039,12/27/2020,1628975,Jevon Carter,G,Phoenix,Sacramento,R,N,10.1,2,4,1,2,0,0,0,1,1,0,1,1,0,0,5,17.6,0,13.0,8.8,31.1,242.5
834,NBA 2020-2021 Regular Season,22000039,12/27/2020,204038,Langston Galloway,G,Phoenix,Sacramento,R,N,14.3,3,4,2,3,1,1,0,0,0,0,0,0,0,0,9,13.8,0,9.0,10.0,25.2,242.5
835,NBA 2020-2021 Regular Season,22000039,12/27/2020,1630234,Ty-Shon Alexander,G,Phoenix,Sacramento,R,N,1.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7,3+,2.8,0.0,0.0,242.5
836,NBA 2020-2021 Regular Season,22000039,12/27/2020,1627745,Damian Jones,C,Phoenix,Sacramento,R,N,1.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,8.4,1.2,39.1,242.5
837,NBA 2020-2021 Regular Season,22000039,12/27/2020,203084,Harrison Barnes,F,Sacramento,Phoenix,H,Y,28.9,4,6,0,1,2,3,0,7,7,0,1,0,1,0,10,13.5,0,34.9,18.2,22.7,195.8
838,NBA 2020-2021 Regular Season,22000039,12/27/2020,1628963,Marvin Bagley III,F,Sacramento,Phoenix,H,Y,27.5,5,13,1,2,0,0,0,8,8,1,4,1,3,0,11,27.4,0,26.7,23.5,30.8,195.8
839,NBA 2020-2021 Regular Season,22000039,12/27/2020,1626158,Richaun Holmes,F,Sacramento,Phoenix,H,Y,24.9,3,5,0,0,2,2,2,9,11,0,4,2,2,1,8,14.9,0,30.7,26.8,38.7,195.8
840,NBA 2020-2021 Regular Season,22000039,12/27/2020,1627741,Buddy Hield,G,Sacramento,Phoenix,H,Y,33.9,6,16,3,9,2,2,0,0,0,3,3,1,1,1,17,24.8,0,33.5,26.5,28.1,195.8
841,NBA 2020-2021 Regular Season,22000039,12/27/2020,1628368,De'Aaron Fox,G,Sacramento,Phoenix,H,Y,26.6,4,12,0,2,4,6,0,0,0,4,5,0,5,0,12,34.8,0,31.3,15.5,21.0,195.8
842,NBA 2020-2021 Regular Season,22000039,12/27/2020,1630169,Tyrese Haliburton,G,Sacramento,Phoenix,H,N,26.5,5,7,3,4,2,2,1,0,1,6,2,0,0,0,15,14.0,0,28.0,26.8,36.3,195.8
843,NBA 2020-2021 Regular Season,22000039,12/27/2020,202709,Cory Joseph,G,Sacramento,Phoenix,H,N,20.3,2,4,1,2,4,4,0,2,2,2,2,1,1,0,9,15.7,0,19.9,16.5,29.3,195.8
844,NBA 2020-2021 Regular Season,22000039,12/27/2020,202357,Nemanja Bjelica,F,Sacramento,Phoenix,H,N,11.1,1,3,1,1,0,0,0,3,3,2,0,0,0,0,3,12.7,0,15.1,10.2,33.2,195.8
845,NBA 2020-2021 Regular Season,22000039,12/27/2020,202355,Hassan Whiteside,C,Sacramento,Phoenix,H,N,10.4,3,4,0,0,0,2,0,2,2,0,1,0,0,2,6,22.1,0,12.6,12.5,43.3,195.8
846,NBA 2020-2021 Regular Season,22000039,12/27/2020,203922,Glenn Robinson III,F,Sacramento,Phoenix,H,N,15.9,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,5.9,0,17.9,2.2,5.1,195.8
847,NBA 2020-2021 Regular Season,22000039,12/27/2020,1629657,Kyle Guy,G,Sacramento,Phoenix,H,N,5.8,1,2,1,1,2,2,0,2,2,1,0,0,0,0,5,23.6,3+,8.5,9.5,59.5,195.8
848,NBA 2020-2021 Regular Season,22000039,12/27/2020,1630186,Jahmi'us Ramsey,G,Sacramento,Phoenix,H,N,2.8,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,17.0,3+,3.9,3.2,42.2,195.8
849,NBA 2020-2021 Regular Season,22000039,12/27/2020,1629713,Justin James,G-F,Sacramento,Phoenix,H,N,2.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,3+,7.9,1.5,19.5,195.8
850,NBA 2020-2021 Regular Season,22000039,12/27/2020,1630218,Robert Woodard II,F,Sacramento,Phoenix,H,N,2.8,1,2,0,1,0,2,0,1,1,0,0,0,1,0,2,65.9,3+,3.3,2.8,35.7,195.8
851,NBA 2020-2021 Regular Season,22000040,12/27/2020,1629006,Josh Okogie,G,Minnesota,LA Lakers,R,Y,11.0,2,4,0,1,0,0,0,0,0,1,0,0,0,0,4,13.8,0,24.0,5.5,18.0,215.5
852,NBA 2020-2021 Regular Season,22000040,12/27/2020,1627774,Jake Layman,F,Minnesota,LA Lakers,R,Y,14.8,4,8,0,1,2,2,0,3,3,0,1,0,0,0,10,22.9,0,14.0,13.8,33.5,215.5
853,NBA 2020-2021 Regular Season,22000040,12/27/2020,1629675,Naz Reid,C-F,Minnesota,LA Lakers,R,Y,27.8,5,13,1,4,0,0,1,4,5,4,5,2,1,0,11,19.2,0,21.7,27.2,35.3,215.5
854,NBA 2020-2021 Regular Season,22000040,12/27/2020,1627736,Malik Beasley,G,Minnesota,LA Lakers,R,Y,24.4,3,9,0,3,2,3,0,5,5,2,0,1,0,0,8,16.1,0,32.1,19.2,28.3,215.5
855,NBA 2020-2021 Regular Season,22000040,12/27/2020,1626156,D'Angelo Russell,G,Minnesota,LA Lakers,R,Y,20.6,2,7,0,1,0,0,0,0,0,3,4,1,7,1,4,25.9,0,30.7,9.0,15.7,215.5
856,NBA 2020-2021 Regular Season,22000040,12/27/2020,1630162,Anthony Edwards,G,Minnesota,LA Lakers,R,N,28.5,6,21,1,9,2,2,2,2,4,2,2,1,1,0,15,30.5,0,24.6,25.0,31.5,215.5
857,NBA 2020-2021 Regular Season,22000040,12/27/2020,1629633,Jarrett Culver,G-F,Minnesota,LA Lakers,R,N,29.4,4,11,0,4,0,0,2,2,4,0,4,1,5,1,8,20.7,0,21.6,14.5,17.7,215.5
858,NBA 2020-2021 Regular Season,22000040,12/27/2020,202334,Ed Davis,C-F,Minnesota,LA Lakers,R,N,12.5,2,5,0,0,0,0,7,0,7,1,4,0,2,1,4,21.3,0,14.1,15.2,43.8,215.5
859,NBA 2020-2021 Regular Season,22000040,12/27/2020,201937,Ricky Rubio,G,Minnesota,LA Lakers,R,N,18.1,4,8,1,4,0,0,1,3,4,4,1,0,0,0,9,16.8,0,24.0,20.5,40.8,215.5
860,NBA 2020-2021 Regular Season,22000040,12/27/2020,1627823,Juancho Hernangomez,F,Minnesota,LA Lakers,R,N,13.4,2,6,1,3,1,3,2,3,5,0,1,0,0,1,6,20.8,0,20.3,14.8,39.6,215.5
861,NBA 2020-2021 Regular Season,22000040,12/27/2020,1629020,Jarred Vanderbilt,F,Minnesota,LA Lakers,R,N,15.5,0,3,0,0,2,4,2,5,7,6,0,3,1,1,2,14.2,3+,17.6,27.2,63.4,215.5
